SearchText,SearchResults,rank,match_score,duration,genre,maturity_number,UserName,UserAge,UserGender,list_id,location,request_id,row,track_id,video_id,image_key,supp_video_id,lolomo_id,maturityMisMatchEdgy,maturityMisMatchNonEdgy,titleInformationDensity,titleInformationDensityExplored,napaRequestId,appView,usePresentedEvent
Murdoch Mysteries,Murdoch Mysteries,1,93%,14 Seasons,"Suspenseful,Mystery,Drama",TV-14,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,70143861,sdp|e6bf2000-1194-11ec-aa45-0adf16872ab3|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,The Bletchley Circle: San Francisco,2,,1 Season,"Suspenseful,Mystery,Drama",TV-14,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,81092269,sdp|9fdfd140-b4b0-11e9-89e7-1228ba45699c|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,Downton Abbey,9,94%,6 Series,"Cerebral,Understated,Period Piece",TV-14,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,70213223,sdp|c299fdc0-793c-11e7-b1da-0e5ca7c87d5e|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,The Indian Detective,4,,1 Season,"Exciting,Mystery,Dramedy",TV-14,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,80190279,sdp|164d6f41-d399-11e7-8d0d-0ee3da6b54f8|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,The Other Boleyn Girl,5,,1h 55m,"Emotional,Romantic,Period Piece",PG-13,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,70083114,sdp|48959220-9d5d-11e6-a333-124b15119c54|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,Agatha Christie's Crooked House,6,,1h 55m,"Cerebral,Film Noir,Mystery",PG-13,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,80224414,sdp|66958750-61f8-11e9-8cd0-1269fa3ed0b6|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,Enola Holmes,7,66%,2h 4m,"Witty,Suspenseful,Exciting",PG-13,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,81277950,sdp|af7de530-e743-11ea-8f78-0a08b04fce67|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,The General's Daughter,8,,1h 57m,"Violent,Dark,Mystery",R,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,22469006,sdp|ce1558b0-5dc7-11e7-973d-0ee0e89d9f0e|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,Dolly Parton: Here I Am,10,,1h 29m,"Heartfelt,Inspiring,Country Music",TV-14,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,81204624,sdp|48ee81d0-1cff-11ea-9ee3-120468d63594|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,Elvis Presley: The Searcher,11,,1 Season,"Rockumentary,Music Documentary,Docuseries",TV-14,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,81456722,sdp|40a92721-a703-11eb-99d9-0e119eb4e38f|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,First Knight,12,,2h 13m,"Romantic,Period Piece,Drama",PG-13,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,505789,sdp|18d50a90-8c78-11e9-9f0b-0e41a336d5f6|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
Murdoch Mysteries,Wyatt Earp,13,,3h 10m,"Gritty,Western,Epic",PG-13,Bengal Tiger,30,M,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,searchResults,NAPA@@|9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199_titles/1//Murdoch Mysteries/0/0,0,255824129,60011597,sdp|c3db5e73-dcf6-11e9-abfb-12bb0ab1475a|en,1,unknown,False,False,,,9c6eb635-600a-4212-8b01-b9c1ccbf101e-35619199|2,boxArt,True
